"rule_title","severity","product","group_id","rule_id","check_content","fix_text","rule_version"
"The Windows 11 system must use an antivirus program.","high","Microsoft Windows 11 ","V-253264","SV-253264r828876","Verify an antivirus solution is installed on the system and in use. The antivirus solution may be bundled with an approved Endpoint Security Solution.

Verify if Microsoft Defender Antivirus is in use or enabled:

Open """"PowerShell"""".

Enter """"get-service | where {$_.DisplayName -Like """"*Defender*""""} | Select Status,DisplayName""""

Verify third-party antivirus is in use or enabled:

Open """"PowerShell"""".

Enter """"get-service | where {$_.DisplayName -Like """"*mcafee*""""} | Select Status,DisplayName""""

Enter """"get-service | where {$_.DisplayName -Like """"*symantec*""""} | Select Status,DisplayName""""

If there is no antivirus solution installed on the system, this is a finding.","Install Microsoft Defender Antivirus or a third-party antivirus solution.","WN11-00-000045"
"Local volumes must be formatted using NTFS.","high","Microsoft Windows 11 ","V-253265","SV-253265r828879","Run """"Computer Management"""".
Navigate to Storage >> Disk Management.

If the """"File System"""" column does not indicate """"NTFS"""" for each volume assigned a drive letter, this is a finding.

This does not apply to system partitions such the Recovery and EFI System Partition.","Format all local volumes to use NTFS.","WN11-00-000050"
"Alternate operating systems must not be permitted on the same system.","medium","Microsoft Windows 11 ","V-253266","SV-253266r828882","Verify the system does not include other operating system installations.

Run """"Advanced System Settings"""".
Select the """"Advanced"""" tab.
Click the """"Settings"""" button in the """"Startup and Recovery"""" section.

If the drop-down list box """"Default operating system:"""" shows any operating system other than Windows 11, this is a finding.","Ensure Windows 11 is the only operating system on a device. Remove alternate operating systems.","WN11-00-000055"
"Non-system-created file shares on a system must limit access to groups that require it.","medium","Microsoft Windows 11 ","V-253267","SV-253267r828885","Non-system-created shares must not exist on workstations.

If only system-created shares exist on the system, this is NA.

Run """"Computer Management"""".
Navigate to System Tools >> Shared Folders >> Shares.

If the only shares listed are """"ADMIN$"""", """"C$"""" and """"IPC$"""", this is NA.
(Selecting Properties for system-created shares will display a message that it has been shared for administrative purposes.)

Right-click any non-system-created shares.
Select """"Properties"""".
Select the """"Share Permissions"""" tab.

Verify the necessity of any shares found.
If the file shares have not been reconfigured to restrict permissions to the specific groups or accounts that require access, this is a finding.

Select the """"Security"""" tab.

If the NTFS permissions have not been reconfigured to restrict permissions to the specific groups or accounts that require access, this is a finding.","If a non-system-created share is required on a system, configure the share and NTFS permissions to limit access to the specific groups or accounts that require it.

Remove any unnecessary non-system-created shares.","WN11-00-000060"
"Unused accounts must be disabled or removed from the system after 35 days of inactivity.","low","Microsoft Windows 11 ","V-253268","SV-253268r828888","Run """"PowerShell"""".
Copy the lines below to the PowerShell window and enter.

""""([ADSI]('WinNT://{0}' -f $env:COMPUTERNAME)).Children | Where { $_.SchemaClassName -eq 'user' } | ForEach {
  $user = ([ADSI]$_.Path)
  $lastLogin = $user.Properties.LastLogin.Value
  $enabled = ($user.Properties.UserFlags.Value -band 0x2) -ne 0x2
  if ($lastLogin -eq $null) {
   $lastLogin = 'Never'
  }
  Write-Host $user.Name $lastLogin $enabled 
}""""

This will return a list of local accounts with the account name, last logon, and if the account is enabled (True/False).
For example: User1 10/31/2015 5:49:56 AM True

Review the list to determine the finding validity for each account reported.

Exclude the following accounts:
Built-in administrator account (Disabled, SID ending in 500)
Built-in guest account (Disabled, SID ending in 501)
Built-in DefaultAccount (Disabled, SID ending in 503)
Local administrator account

If any enabled accounts have not been logged on to within the past 35 days, this is a finding.

Inactive accounts that have been reviewed and deemed to be required must be documented with the ISSO.","Review local accounts and verify their necessity. Disable or delete any active accounts that have not been used in the last 35 days.","WN11-00-000065"
"Only accounts responsible for the administration of a system must have Administrator rights on the system.","high","Microsoft Windows 11 ","V-253269","SV-253269r828891","Run """"Computer Management"""".
Navigate to System Tools >> Local Users and Groups >> Groups.
Review the members of the Administrators group.
Only the appropriate administrator groups or accounts responsible for administration of the system may be members of the group.

For domain-joined workstations, the Domain Admins group must be replaced by a domain workstation administrator group.

Standard user accounts must not be members of the local administrator group.

If prohibited accounts are members of the local administrators group, this is a finding.

The built-in Administrator account or other required administrative accounts would not be a finding.","Configure the system to include only administrator groups or accounts that are responsible for the system in the local Administrators group.

For domain-joined workstations, the Domain Admins group must be replaced by a domain workstation administrator group.

Remove any standard user accounts.","WN11-00-000070"
"Only accounts responsible for the backup operations must be members of the Backup Operators group.","medium","Microsoft Windows 11 ","V-253270","SV-253270r828894","Run """"Computer Management"""".
Navigate to System Tools >> Local Users and Groups >> Groups.
Review the members of the Backup Operators group.

If the group contains no accounts, this is not a finding.

If the group contains any accounts, the accounts must be specifically for backup functions.

If the group contains any standard user accounts used for performing normal user tasks, this is a finding.","Create separate accounts for backup operations for users with this privilege.","WN11-00-000075"
"Only authorized user accounts must be allowed to create or run virtual machines on Windows 11 systems.","medium","Microsoft Windows 11 ","V-253271","SV-253271r828897","If a hosted hypervisor (Hyper-V, VMware Workstation, etc.) is installed on the system, verify only authorized user accounts are allowed to run virtual machines.

For Hyper-V, run """"Computer Management"""".
Navigate to System Tools >> Local Users and Groups >> Groups.
Double click on """"Hyper-V Administrators"""".

If any unauthorized groups or user accounts are listed in """"Members:"""", this is a finding.

For hosted hypervisors other than Hyper-V, verify only authorized user accounts have access to run the virtual machines. Restrictions may be enforced by access to the physical system, software restriction policies, or access restrictions built into the application.

If any unauthorized groups or user accounts have access to create or run virtual machines, this is a finding.

All users authorized to create or run virtual machines must be documented with the ISSM/ISSO. Accounts nested within group accounts must be documented as individual accounts and not the group accounts.","For Hyper-V, remove any unauthorized groups or user accounts from the """"Hyper-V Administrators"""" group.

For hosted hypervisors other than Hyper-V, restrict access to create or run virtual machines to authorized user accounts only.","WN11-00-000080"
"Standard local user accounts must not exist on a system in a domain.","low","Microsoft Windows 11 ","V-253272","SV-253272r890449","Run """"Computer Management"""".
Navigate to System Tools >> Local Users and Groups >> Users.

If local users other than the accounts listed below exist on a workstation in a domain, this is a finding. 

For standalone or nondomain-joined systems, this is Not Applicable.

Built-in Administrator account (Disabled)
Built-in Guest account (Disabled)
Built-in DefaultAccount (Disabled)
Built-in defaultuser0 (Disabled)
Built-in WDAGUtilityAccount (Disabled)
Local administrator account(s)

All of the built-in accounts may not exist on a system, depending on the Windows 11 version.","Limit local user accounts on domain-joined systems. Remove any unauthorized local accounts.","WN11-00-000085"
"Accounts must be configured to require password expiration.","medium","Microsoft Windows 11 ","V-253273","SV-253273r828903","Run """"Computer Management"""".
Navigate to System Tools >> Local Users and Groups >> Users.
Double-click each active account.

If """"Password never expires"""" is selected for any account, this is a finding.","Configure all passwords to expire.
Run """"Computer Management"""".
Navigate to System Tools >> Local Users and Groups >> Users.
Double-click each active account.
Ensure """"Password never expires"""" is not checked on all active accounts.","WN11-00-000090"
"Permissions for system files and directories must conform to minimum requirements.","medium","Microsoft Windows 11 ","V-253274","SV-253274r840169","The default file system permissions are adequate when the Security Option """"Network access: Let Everyone permissions apply to anonymous users"""" is set to """"Disabled"""" (WN11-SO-000160).

If the default file system permissions are maintained and the referenced option is set to """"Disabled"""", this is not a finding.

Verify the default permissions for the sample directories below. Non-privileged groups such as Users or Authenticated Users must not have greater than read & execute permissions except where noted as defaults. (Individual accounts must not be used to assign permissions.)

Viewing in File Explorer:
Select the """"Security"""" tab, and the """"Advanced"""" button.

C:\
Type - """"Allow"""" for all
Inherited from - """"None"""" for all
Principal - Access - Applies to
Administrators - Full control - This folder, subfolders, and files
SYSTEM - Full control - This folder, subfolders, and files
Users - Read & execute - This folder, subfolders, and files
Authenticated Users - Modify - Subfolders and files only
Authenticated Users - Create folders / append data - This folder only

\Program Files
Type - """"Allow"""" for all
Inherited from - """"None"""" for all
Principal - Access - Applies to
TrustedInstaller - Full control - This folder and subfolders
SYSTEM - Modify - This folder only
SYSTEM - Full control - Subfolders and files only
Administrators - Modify - This folder only
Administrators - Full control - Subfolders and files only
Users - Read & execute - This folder, subfolders, and files
CREATOR OWNER - Full control - Subfolders and files only
ALL APPLICATION PACKAGES - Read & execute - This folder, subfolders, and files
ALL RESTRICTED APPLICATION PACKAGES - Read & execute - This folder, subfolders, and files

\Windows
Type - """"Allow"""" for all
Inherited from - """"None"""" for all
Principal - Access - Applies to
TrustedInstaller - Full control - This folder and subfolders
SYSTEM - Modify - This folder only
SYSTEM - Full control - Subfolders and files only
Administrators - Modify - This folder only
Administrators - Full control - Subfolders and files only
Users - Read & execute - This folder, subfolders, and files
CREATOR OWNER - Full control - Subfolders and files only
ALL APPLICATION PACKAGES - Read & execute - This folder, subfolders, and files
ALL RESTRICTED APPLICATION PACKAGES - Read & execute - This folder, subfolders, and files

Alternately use icacls.

Run """"CMD"""" as administrator.
Enter """"icacls"""" followed by the directory.

icacls c:\
icacls """"c:\program files""""
icacls c:\windows

The following results will be displayed as each is entered:

c:\
BUILTIN\Administrators:(OI)(CI)(F)
NT AUTHORITY\SYSTEM:(OI)(CI)(F)
BUILTIN\Users:(OI)(CI)(RX)
NT AUTHORITY\Authenticated Users:(OI)(CI)(IO)(M)
NT AUTHORITY\Authenticated Users:(AD)
Mandatory Label\High Mandatory Level:(OI)(NP)(IO)(NW)
Successfully processed 1 files; Failed processing 0 files

c:\program files 
NT SERVICE\TrustedInstaller:(F)
NT SERVICE\TrustedInstaller:(CI)(IO)(F)
NT AUTHORITY\SYSTEM:(M)
NT AUTHORITY\SYSTEM:(OI)(CI)(IO)(F)
BUILTIN\Administrators:(M)
BUILTIN\Administrators:(OI)(CI)(IO)(F)
BUILTIN\Users:(RX)
BUILTIN\Users:(OI)(CI)(IO)(GR,GE)
CREATOR OWNER:(OI)(CI)(IO)(F)
APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES:(RX)
APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES:(OI)(CI)(IO)(GR,GE)
APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES:(RX)
APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES:(OI)(CI)(IO)(GR,GE)
Successfully processed 1 files; Failed processing 0 files

c:\windows
NT SERVICE\TrustedInstaller:(F)
NT SERVICE\TrustedInstaller:(CI)(IO)(F)
NT AUTHORITY\SYSTEM:(M)
NT AUTHORITY\SYSTEM:(OI)(CI)(IO)(F)
BUILTIN\Administrators:(M)
BUILTIN\Administrators:(OI)(CI)(IO)(F)
BUILTIN\Users:(RX)
BUILTIN\Users:(OI)(CI)(IO)(GR,GE)
CREATOR OWNER:(OI)(CI)(IO)(F)
APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES:(RX)
APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES:(OI)(CI)(IO)(GR,GE)
APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES:(RX)
APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES:(OI)(CI)(IO)(GR,GE)
Successfully processed 1 files; Failed processing 0 files","Maintain the default file system permissions and configure the Security Option: """"Network access: Let everyone permissions apply to anonymous users"""" to """"Disabled"""" (WN11-SO-000160).","WN11-00-000095"
"Internet Information System (IIS) or its subcomponents must not be installed on a workstation.","high","Microsoft Windows 11 ","V-253275","SV-253275r828909","Verify it has not been installed on the system.

Run """"Programs and Features"""".
Select """"Turn Windows features on or off"""".

If the entries for """"Internet Information Services"""" or """"Internet Information Services Hostable Web Core"""" are selected, this is a finding.

If an application requires IIS or a subset to be installed to function, this needs be documented with the ISSO. In addition, any applicable requirements from the IIS STIG must be addressed.","Uninstall """"Internet Information Services"""" or """"Internet Information Services Hostable Web Core"""" from the system.","WN11-00-000100"
"Simple Network Management Protocol (SNMP) must not be installed on the system.","medium","Microsoft Windows 11 ","V-253276","SV-253276r828912","Verify SNMP has not been installed.

Navigate to the Windows\System32 directory.

If the """"SNMP"""" application exists, this is a finding.","Uninstall """"Simple Network Management Protocol (SNMP)"""" from the system.

Run """"Programs and Features"""".
Select """"Turn Windows Features on or off"""".
De-select """"Simple Network Management Protocol (SNMP)"""".","WN11-00-000105"
"Simple TCP/IP Services must not be installed on the system.","medium","Microsoft Windows 11 ","V-253277","SV-253277r828915","Verify Simple TCP/IP Services has not been installed.

Run """"Services.msc"""".

If """"Simple TCP/IP Services"""" is listed, this is a finding.","Uninstall """"Simple TCPIP Services (i.e. echo, daytime etc.)"""" from the system.

Run """"Programs and Features"""".
Select """"Turn Windows Features on or off"""".
De-select """"Simple TCPIP Services (i.e. echo, daytime etc.)"""".","WN11-00-000110"
"The Telnet Client must not be installed on the system.","medium","Microsoft Windows 11 ","V-253278","SV-253278r828918","Verify Telnet Client has not been installed.

Navigate to the Windows\System32 directory.

If the """"telnet"""" application exists, this is a finding.","Uninstall """"Telnet Client"""" from the system.

Run """"Programs and Features"""".
Select """"Turn Windows Features on or off"""".

De-select """"Telnet Client"""".","WN11-00-000115"
"The TFTP Client must not be installed on the system.","medium","Microsoft Windows 11 ","V-253279","SV-253279r828921","Verify TFTP Client has not been installed.

Navigate to the Windows\System32 directory.

If the """"TFTP"""" application exists, this is a finding.","Uninstall """"TFTP Client"""" from the system.

Run """"Programs and Features"""".
Select """"Turn Windows Features on or off"""".
De-select """"TFTP Client"""".","WN11-00-000120"
"Software certificate installation files must be removed from Windows 11.","medium","Microsoft Windows 11 ","V-253280","SV-253280r828924","Search all drives for *.p12 and *.pfx files.

If any files with these extensions exist, this is a finding.

This does not apply to server-based applications that have a requirement for .p12 certificate files (e.g., Oracle Wallet Manager) or Adobe PreFlight certificate files. Some applications create files with extensions of .p12 that are not certificate installation files. Removal of non-certificate installation files from systems is not required. These must be documented with the ISSO.","Remove any certificate installation files (*.p12 and *.pfx) found on a system.

Note: This does not apply to server-based applications that have a requirement for .p12 certificate files (e.g., Oracle Wallet Manager) or Adobe PreFlight certificate files.","WN11-00-000130"
"A host-based firewall must be installed and enabled on the system.","medium","Microsoft Windows 11 ","V-253281","SV-253281r828927","Determine if a host-based firewall is installed and enabled on the system. If a host-based firewall is not installed and enabled on the system, this is a finding.

The configuration requirements will be determined by the applicable firewall STIG.","Install and enable a host-based firewall on the system.","WN11-00-000135"
"Inbound exceptions to the firewall on Windows 11 domain workstations must only allow authorized remote management hosts.","medium","Microsoft Windows 11 ","V-253282","SV-253282r828930","Verify firewall exceptions to inbound connections on domain workstations include only authorized remote management hosts.

If allowed inbound exceptions are not limited to authorized remote management hosts, this is a finding.

Review inbound firewall exceptions.
Computer Configuration >> Windows Settings >> Security Settings >> Windows Defender Firewall with Advanced Security >> Windows Defender Firewall with Advanced Security >> Inbound Rules (this link will be in the right pane)

For any inbound rules that allow connections view the Scope for Remote IP address. This may be defined as an IP address, subnet, or range. The rule must apply to all firewall profiles.

If a third-party firewall is used, ensure comparable settings are in place.","Configure firewall exceptions to inbound connections on domain workstations to include only authorized remote management hosts.

Configure only inbound connection exceptions for authorized remote management hosts.
Computer Configuration >> Windows Settings >> Security Settings >> Windows Defender Firewall with Advanced Security >> Windows Defender Firewall with Advanced Security >> Inbound Rules (this link will be in the right pane)

For any inbound rules that allow connections, configure the Scope for Remote IP address to those of authorized remote management hosts. This may be defined as an IP address, subnet or range. Apply the rule to all firewall profiles.

If a third-party firewall is used, configure inbound exceptions to only include authorized remote management hosts.","WN11-00-000140"
"Data Execution Prevention (DEP) must be configured to at least OptOut.","high","Microsoft Windows 11 ","V-253283","SV-253283r828933","Verify the DEP configuration.
Open a command prompt (cmd.exe) or PowerShell with elevated privileges (Run as administrator).
Enter """"BCDEdit /enum {current}"""". (If using PowerShell """"{current}"""" must be enclosed in quotes.)
If the value for """"nx"""" is not """"OptOut"""", this is a finding.
(The more restrictive configuration of """"AlwaysOn"""" would not be a finding.)","Configure DEP to at least OptOut.

Note: Suspend BitLocker before making changes to the DEP configuration.

Open a command prompt (cmd.exe) or PowerShell with elevated privileges (Run as administrator).
Enter """"BCDEDIT /set {current} nx OptOut"""". (If using PowerShell """"{current}"""" must be enclosed in quotes.)
""""AlwaysOn"""", a more restrictive selection, is also valid but does not allow applications that do not function properly to be opted out of DEP.

Opted out exceptions can be configured in the """"System Properties"""".

Open """"System"""" in Control Panel.
Select """"Advanced system settings"""".
Click """"Settings"""" in the """"Performance"""" section.
Select the """"Data Execution Prevention"""" tab.
Applications that are opted out are configured in the window below the selection """"Turn on DEP for all programs and services except those I select:"""".","WN11-00-000145"
"Structured Exception Handling Overwrite Protection (SEHOP) must be enabled.","high","Microsoft Windows 11 ","V-253284","SV-253284r828936","Verify SEHOP is turned on.

If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SYSTEM\CurrentControlSet\Control\Session Manager\kernel\

Value Name: DisableExceptionChainValidation

Value Type: REG_DWORD
Value: 0x00000000 (0)","Configure the policy value for Computer Configuration >> Administrative Templates >> MS Security Guide >> """"Enable Structured Exception Handling Overwrite Protection (SEHOP)"""" to """"Enabled"""".

This policy setting requires the installation of the SecGuide custom templates included with the STIG package. """"SecGuide.admx"""" and """"SecGuide.adml"""" must be copied to the \Windows\PolicyDefinitions and \Windows\PolicyDefinitions\en-US directories respectively.","WN11-00-000150"
"The Windows PowerShell 2.0 feature must be disabled on the system.","medium","Microsoft Windows 11 ","V-253285","SV-253285r828939","Run """"Windows PowerShell"""" with elevated privileges (run as administrator).

Enter the following:
Get-WindowsOptionalFeature -Online | Where FeatureName -like *PowerShellv2*

If either of the following have a """"State"""" of """"Enabled"""", this is a finding.

FeatureName : MicrosoftWindowsPowerShellV2
State : Enabled
FeatureName : MicrosoftWindowsPowerShellV2Root
State : Enabled

Alternately:
Search for """"Features"""".

Select """"Turn Windows features on or off"""".

If """"Windows PowerShell 2.0"""" (whether the subcategory of """"Windows PowerShell 2.0 Engine"""" is selected or not) is selected, this is a finding.","Disable """"Windows PowerShell 2.0"""" on the system.

Run """"Windows PowerShell"""" with elevated privileges (run as administrator).
Enter the following:
Disable-WindowsOptionalFeature -Online -FeatureName MicrosoftWindowsPowerShellV2Root

This command must disable both """"MicrosoftWindowsPowerShellV2Root"""" and """"MicrosoftWindowsPowerShellV2"""" which correspond to """"Windows PowerShell 2.0"""" and """"Windows PowerShell 2.0 Engine"""" respectively in """"Turn Windows features on or off"""".

Alternately:
Search for """"Features"""".
Select """"Turn Windows features on or off"""".
De-select """"Windows PowerShell 2.0"""".","WN11-00-000155"
"The Server Message Block (SMB) v1 protocol must be disabled on the system.","medium","Microsoft Windows 11 ","V-253286","SV-253286r828942","Different methods are available to disable SMBv1 on Windows 11. This is the preferred method, however if WN11-00-000165 and WN11-00-000170 are configured, this is NA.

Run """"Windows PowerShell"""" with elevated privileges (run as administrator).

Enter the following:
Get-WindowsOptionalFeature -Online | Where FeatureName -eq SMB1Protocol

If """"State : Enabled"""" is returned, this is a finding.

Alternately:
Search for """"Features"""".

Select """"Turn Windows features on or off"""".

If """"SMB 1.0/CIFS File Sharing Support"""" is selected, this is a finding.","Disable the SMBv1 protocol.

Run """"Windows PowerShell"""" with elevated privileges (run as administrator).

Enter the following:
Disable-WindowsOptionalFeature -Online -FeatureName SMB1Protocol

Alternately:
Search for """"Features"""".

Select """"Turn Windows features on or off"""".

De-select """"SMB 1.0/CIFS File Sharing Support"""".","WN11-00-000160"
